,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,19,買いたい家の数,6,
,売れた家の数,6,買えた家の数,6,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Johnson,Buchanan,3500,245001,1,5
,Taft,Grant,3000,193301,2,3
,Ford,Cleveland,2500,115201,2,4
,Buren,Harrison,500,94401,5,6
,Pierce,Mckinley,2500,309801,1,1
,総取引における距離の平均,2400.0,合算地,12000,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,14,買いたい家の数,13,
,売れた家の数,13,買えた家の数,13,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Bush,Monroe,2500,108001,1,1
,Reagan,Garfield,3000,69801,6,11
,Clinton,Truman,3000,348001,1,1
,Washington,Taft,2500,97001,3,9
,Jefferson,Obama,2500,45801,1,12
,Tyler,Polk,500,312801,2,1
,Fillmore,Hayes,2000,168001,1,13
,Buchanan,Carter,1000,247901,4,5
,Lincoln,Coolidge,1500,108001,2,8
,Grant,Roosevelt,3500,74800,2,10
,Harrison,Buren,500,309801,2,3
,Mckinley,Pierce,2500,302401,2,4
,総取引における距離の平均,2083.0,合算地,25000,何番目に好きな人に売れたの平均,6.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,15,買いたい家の数,13,
,売れた家の数,13,買えた家の数,13,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Eisenhower,Fillmore,2500,158801,1,6
,Roosevelt,Washington,1000,108001,1,1
,Hoover,Clinton,1500,257501,1,4
,Truman,Nixson,2500,257501,3,3
,Carter,Arthur,2500,302401,2,2
,Obama,Lincoln,2000,45801,1,10
,Coolidge,Jefferson,2000,74801,3,9
,Madison,Taylor,1500,26401,7,13
,Monroe,Bush,2500,108001,2,8
,Polk,Tyler,500,336001,1,5
,Hayes,Tyler,2500,218701,3,5
,Garfield,Jefferson,4000,33801,1,9
,Cleveland,Ford,2500,33801,2,12
,総取引における距離の平均,2115.0,合算地,27500,何番目に好きな人に売れたの平均,6.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,7,買いたい家の数,6,
,売れた家の数,6,買えた家の数,6,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Nixson,Madison,2000,309801,2,3
,Adams,Eisenhower,2500,232700,2,5
,Jefferson,Hoover,1500,45801,5,6
,Tyler,Hoover,1500,312801,1,6
,Taylor,Reagan,2000,264801,4,4
,Arthur,Jackson,2000,309801,3,3
,総取引における距離の平均,1916.0,合算地,11500,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,3,買いたい家の数,2,
,売れた家の数,2,買えた家の数,2,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Hoover,Adams,1000,257501,1,1
,Jackson,Kennedy,3500,198000,2,2
,総取引における距離の平均,2250.0,合算地,4500,何番目に好きな人に売れたの平均,1.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,2,買いたい家の数,1,
,売れた家の数,1,買えた家の数,1,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Kennedy,Buren,3000,94400,1,1
,総取引における距離の平均,3000.0,合算地,3000,何番目に好きな人に売れたの平均,1.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,7,買いたい家の数,3,
,売れた家の数,3,買えた家の数,3,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Buren,Grant,1000,94401,2,3
,Lincoln,Harrison,2000,108001,1,2
,Mckinley,Pierce,2500,302400,1,1
,総取引における距離の平均,1833.0,合算地,5500,何番目に好きな人に売れたの平均,2.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,14,買いたい家の数,8,
,売れた家の数,8,買えた家の数,8,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Bush,Monroe,2500,108001,1,6
,Roosevelt,Cleveland,2500,108001,1,1
,Truman,Madison,1500,257500,4,4
,Coolidge,Fillmore,500,74801,4,8
,Polk,Hayes,3000,336001,1,1
,Pierce,Mckinley,2500,309801,1,1
,Grant,Lincoln,500,74801,3,8
,Harrison,Buchanan,2500,309801,3,3
